StatsType,Project,CPID,TC,RAT,RAC,AvgRAC,Mag
byCPID,,2853ce86a6bda337ba7da7517f2643c1,39314626260.311310,13073295005.527164,5956149.941950,744518.742744,2038.470000,
byCPID,,28a2671e21a938644cf315d20900e73f,3272459.523245,3223293306.244455,100.029547,50.014774,0.180000,
byCPID,,28a5c23a1061697f57db1edd9ba4549a,21682948.075791,3276109209.796640,7821.257100,3910.628550,1.120000,
byCPID,,28c38d4382c2497f0d2aab9d38bb0714,3415115.223912,1638052502.202600,2587.697435,2587.697435,4.700000,
byCPID,,28e0ae8715768aff53e2dc971251402c,16464844.413942,3172908005.628743,0.104552,0.052276,0.000000,
byCPID,,294146cbe8a4187c71541a4950b61426,439280.266488,6517988262.531417,2821.388927,705.347232,9.780000,
byCPID,,29e886a19d116dc4f569348fbe5ff811,437618609.499990,12739988338.018131,312219.304550,39027.413069,59.530000,
byCPID,,29f12dc6023619cab1c87f1f52914dfc,412563114.965305,9828136832.634979,445089.823031,74181.637172,75.400000,
byCPID,,2a16fc8a24e7a1f2abc3fafd450cced3,2830649.380546,8149853073.430146,7305.951414,1461.190283,3.310000,
byCPID,,2a258e2335606b01e3d8701ad7d63c5f,14599875.519918,12729980297.433815,41104.674702,5138.084338,35.500000,
byCPID,,2a36939a9f3cff33952ed33dbdaeb8b7,9153249.644688,6552074999.151021,6918.638781,1729.659695,5.810000,
byCPID,,2a56da04d22f9dc5f57602e8c5de3de9,58655745.961864,11239806278.259888,39887.646805,5698.235258,41.460000,
byCPID,,2a644edc7aa7b279c8216019f3a48f06,3003741.326855,1634192401.903595,0.091024,0.091024,0.000000,
byCPID,,2ae950580d0c05ee1bca3ca8cdd0bbc1,1258873.911210,4910856608.360457,12705.801159,4235.267053,2.410000,
byCPID,,2aed864af0e2b5874d86f6ea3664570f,850310.701041,9723239754.617088,439.274763,73.212461,1.180000,
byCPID,,2b087a5b9d7e37cd961eb32226e743c4,1354407.427147,8164203995.591419,2628.294681,525.658936,1.110000,
byCPID,,2b2f5770fd9683f2db706b7abe333bdb,98929823.018427,6552127666.628895,205903.803695,51475.950924,39.660000,
byCPID,,2b88a1d658358b865d0512b26ed48462,5062462.952983,6551745545.015679,132398.765728,33099.691432,72.650000,
byCPID,,2c90f0dd67d2659cd60f79241a663338,30706999.101940,9827778091.161251,17767.297734,2961.216289,31.160000,
byCPID,,2ca52516e3cd3c160f704ed484bbd613,2386006.000000,1635849003.137634,0.091241,0.091241,0.000000,
byCPID,,2cc2bc185b9cebd6532d26397369b8c1,3550393.753889,1638045522.265624,3233.369239,3233.369239,0.420000,
byCPID,,2cf3f182687e2eefe4103d7f2f8a373e,465983823.415482,3276111005.076343,343726.275446,171863.137723,52.160000,
byCPID,,2d4e7144a01aa104d2b4e55687e1018f,4500499.148770,4914107017.399256,7694.530030,2564.843343,2.020000,
byCPID,,2d8398cb34871cd48f3281ca1b69c93b,42190954.362616,13970428861.508295,899.083056,99.898117,3.580000,
byCPID,,2d88dd26841f2342aaa2d1ff4f316dac,455969.262459,1638058089.885645,8345.570101,8345.570101,1.080000,
byCPID,,2d970fb5b1c4c346876cfa0bffa73980,8388917.543710,14275382884.273350,2035.816189,226.201799,6.480000,
byCPID,,2dd44aa22dfc64dd51466f61762f95da,2411606.954649,3275975064.953701,20242.187979,10121.093989,7.330000,
byCPID,,2e034241e4c2ec68476680aa33113b92,223209026.567855,9617102001.474497,6518.246750,1086.374458,0.950000,
byCPID,,2e834908efe38ae43080ed2ec372353b,1228600.816178,4859877607.546030,0.258203,0.086068,0.000000,
byCPID,,2e8a816b5e889024deeefc4893c656d5,26221928.259474,17588789607.831379,301040.149484,27367.286317,225.250000,
byCPID,,2ebd98706dc08b1953f86d1a69b7e97d,837456534.986642,11251552523.203196,0.649343,0.092763,0.000000,
byCPID,,2ee371464c8ac8882ebc8147298ee148,2503774.665350,8080984814.557520,10202.702356,2040.540471,4.460000,
byCPID,,2efd22b7d85b2a5518b9dd053bb6874b,7396903.477915,8034157344.784350,6164.264015,1232.852803,9.530000,
